resource,consumer
Perumytilus purpuratus,Acanthina monodon
Mytilus chilensis,Acanthina monodon
Mytilus chilensis,Acanthocyclus albatrossis
Detritus,Acari
Phytodetritus,Amphipoda
Phytodetritus,Amphipoda
Mytilus chilensis,Anasterias antarctica
Trophon geversianus,Anasterias antarctica
Aulacomya atra,Anasterias antarctica
Harpagifer bispinis,Antholoba achates
Sprattus fuegensis,Aptenoydes patagonicus
Myctophidae,Aptenoydes patagonicus
Doryteuthis gahi,Aptenoydes patagonicus
Patagonotothen tessellata,Aptenoydes patagonicus
Macrocystis pyrifera,Arbacia dufresnii
Ulva sp.,Arbacia dufresnii
Ostracoda,Arbacia dufresnii
Foraminifera,Arbacia dufresnii
Ceramium sp.,Arbacia dufresnii
Heterosiphonia sp.,Arbacia dufresnii
Merluccius australis,Arctocephalus australis
Myctophidae,Arctocephalus australis
Zooplankton,Aulacomya atra
Phytoplankton,Aulacomya atra
Phytoplankton,Austrochlamys natans
Fragilaria sp.,Bathylagichthys parini (larvae)
Bivalvia larva,Bathylagichthys parini (larvae)
Copepod egg,Bathylagichthys parini (larvae)
Copepod nauplius,Bathylagichthys parini (larvae)
Calanoid copepodite,Bathylagichthys parini (larvae)
Ostracoda,Bathylagichthys parini (larvae)
Salp,Bathylagichthys parini (larvae)
Appendicularia fecal pellet,Bathylagichthys parini (larvae)
Phytoplankton,Bivalvia
Chaetoceros sp.,Bivalvia larva
Diatoms,Bivalvia larva
Phytoplankton,Bryozoans
Zooplankton,Bryozoans
Exosphaeroma gigas,Bunodactis octoradiata
Phytoplankton,Calanoid copepodite
Darina solenoides,Calidris canutus
Zooplankton,Campylonotus vagans
Crustaceans,Cephalopoda
Bivalvia,Cephalopoda
Patagonotothen sp.,Cephalorhynchus commersonii commersonii
Zoarcids,Cephalorhynchus commersonii commersonii
Eleginops maclovinus,Cephalorhynchus commersonii commersonii
Odontesthes spp.,Cephalorhynchus commersonii commersonii
Sprattus fuegensis,Cephalorhynchus commersonii commersonii
Macruronus magellanicus,Cephalorhynchus commersonii commersonii
Illex argentinus,Cephalorhynchus commersonii commersonii
Doryteuthis gahi,Cephalorhynchus commersonii commersonii
Enteroctopus megalocyathus,Cephalorhynchus commersonii commersonii
Munida gregaria,Cephalorhynchus commersonii commersonii
Halicarcinus planatus,Cephalorhynchus commersonii commersonii
Campylonotus vagans,Cephalorhynchus commersonii commersonii
Patagonotothen tessellata,Champsocephalus esox
Patagonotothen cornucola,Champsocephalus esox
Patagonotothen sima,Champsocephalus esox
Macroalgae,Chloephaga hybrida
Nanoflagellates,Copepod nauplius
Phytoplankton,Copepoda
Zooplankton,Copepoda
Detritus,Copepoda
Mytilus chilensis,Cosmasterias lurida
Austrochlamys natans,Cosmasterias lurida
Trophon geversianus,Cosmasterias lurida
Aulacomya atra,Cosmasterias lurida
Pseudechinus magellanicus,Cosmasterias lurida
Arbacia dufresnii,Cosmasterias lurida
Loxechinus albus,Cosmasterias lurida
Macrocystis pyrifera,Crepipatella dilatata
Phytoplankton,Darina solenoides
Detritus,Darina solenoides
Munida gregaria,Doryteuthis gahi
Sprattus fuegensis,Doryteuthis gahi
Gammaridae,Eleginops maclovinus
Tanaidae,Eleginops maclovinus
Ulva sp.,Eleginops maclovinus
Exosphaeroma gigas,Eleginops maclovinus
Acanthocyclus albatrossis,Eleginops maclovinus
Platynereis australis,Eleginops maclovinus
Halicarcinus planatus,Eleginops maclovinus
Cephalopoda,Eleginops maclovinus
Ostracoda,Eleginops maclovinus
Amphipoda,Eleginops maclovinus
Enteromorpha sp.,Eleginops maclovinus
Ectocarpus sp.,Eleginops maclovinus
Rhizoclonium sp.,Eleginops maclovinus
Cladophora sp.,Eleginops maclovinus
Ceramium sp.,Eleginops maclovinus
Oscillatoria sp.,Eleginops maclovinus
Copepoda,Eleginops maclovinus
Isopoda,Eleginops maclovinus
Decapoda,Eleginops maclovinus
Acari,Eleginops maclovinus
Appendicularians,Eleginops maclovinus
Foraminifera,Eleginops maclovinus
Brachiopods,Eleginops maclovinus
Fish,Eleginops maclovinus
Sediment,Eleginops maclovinus
Tawera elliptica,Enteroctopus megalocyathus
Peltarion spinulosum,Enteroctopus megalocyathus
Phytoplankton,Euphausia lucens
Phytoplankton,Euphausia vallentini
Diatoms,Euphausia vallentini
Foraminifera,Eurypodius latreillei
Halicarcinus planatus,Eurypodius latreillei
Pagurus sp.,Eurypodius latreillei
Isopoda,Eurypodius latreillei
Bryozoans,Eurypodius latreillei
Detritus,Exosphaeroma gigas
Macrocystis pyrifera,Fissurella oriens
Macroalgae,Fissurella oriens
Macrocystis pyrifera,Fissurella radiosa
Macroalgae,Fissurella radiosa
Phytoplankton,Foraminifera
Phytodetritus,Foraminifera
Copepoda,Foraminifera
Phytoplankton,Gaimardia trapesina
Phytoplankton,Gammaridae
Zooplankton,Gammaridae
Detritus,Gammaridae
Munida gregaria,Genypterus blacodes
Amphipoda,Genypterus blacodes
Merluccius sp.,Genypterus blacodes
Patagonotothen sp.,Genypterus blacodes
Odontesthes spp.,Genypterus blacodes
Sprattus fuegensis,Genypterus blacodes
