resource,consumer,Prey group,Reference,URL/DOI,Observation
Laevilitorina caliginosa,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Eatoniella sp.,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Mytilus platensis,Nacella deaurata,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Lasaea sp.,Nacella deaurata,BIvalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ostracods,Nacella deaurata,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Amphipoda indet,Nacella deaurata,Amphipoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Elminius kingii,Nacella deaurata,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Arachnida indet,Nacella deaurata,Arachnida,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Halirytus magellanicus,Nacella deaurata,Insecta,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Bivalvia,Nacella magellanica,Bivalvia,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content (seasonal sampling)
Forams,Nacella magellanica,Foraminifera,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Red algae,Nacella magellanica,Red algae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Green algae,Nacella magellanica,Green algae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Miscellaneus,Nacella magellanica,Miscellaneus,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Chroococcus sp.,Nacella magellanica,Microalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content
Oscillatoria sp.,Nacella magellanica,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Melosira sp.,Nacella magellanica,Microalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Coscinodiscus sp.,Nacella magellanica,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Biddulphia sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Pinnularia sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Navicula sp.,Nacella magellanica,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Gyrosigma sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Diploneis sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Plagiotropis sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Cocconeis sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Surirella sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Gomphonema sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Cymbella sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Licmophora sp,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Amphora sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Cylindrotheca sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nitzschia sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Achnanthes sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Rhabdonema sp.,Nacella magellanica,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Grammatophora sp.,Nacella magellanica,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Fragilaria sp.,Nacella magellanica,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Dinophysis sp.,Nacella magellanica,Miozoa,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Prorocentrum sp.,Nacella magellanica,Miozoa,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Spongomorpha pacifica,Nacella magellanica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ulothrix sp.,Nacella magellanica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ulva lactuca,Nacella magellanica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ulva prolifera,Nacella magellanica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ulva sp.,Nacella magellanica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Rhizoclonium sp.,Nacella magellanica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ectocarpus siliculosus,Nacella magellanica,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Caepidium antarcticum,Nacella magellanica,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Adenocystis utricularis,Nacella magellanica,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Scytosiphon lomentaria,Nacella magellanica,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Halopteris funnicularis,Nacella magellanica,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Macrocystis pyrifera,Nacella magellanica,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Acrochaetium sp.,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nothogenia fastigiata,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Iridaea chordata,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Sarcothalia crispata,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Mazzaella laminaroides,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Grateloupia sp,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Heterosiphonia sp.,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Polysiphonia sp.,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Pterosiphonia sp.,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ballia callitricha,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Bostrychia sp.,Nacella magellanica,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Forams,Nacella magellanica,Foraminifera,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Margarella violacea,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Laevilitorina caliginosa,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Onchidella marginata,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Mytilus platensis,Nacella magellanica,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Lasaea sp.,Nacella magellanica,BIvalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Ostracods,Nacella magellanica,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Notochthamalus scabrosus,Nacella magellanica,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Elminius kingii,Nacella magellanica,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Arachnida indet,Nacella magellanica,Arachnida,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Halirytus magellanicus,Nacella magellanica,Insecta,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Munida gregaria,Oncorhynchus tschawytscha,Benthic decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6024,Gut content (seasonal sampling)
Phytodetritus,Ophiactis asperula,Phytodetritus,Rivera (pers. Comm),,Stomach content
Phytodetritus,Ophiuroglypha lymani,Phytodetritus,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/972,Stomach content
Crustaceans,Ophiuroglypha lymani,Crustacea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/973,Stomach content
Fecal pellets,Ophiuroglypha lymani,Fecal pellets,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/974,Stomach content
Detritus,Ophiuroglypha lymani,Detritus,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/975,Stomach content
Sediment,Ophiuroglypha lymani,Sediment,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/976,Stomach content
Macroalgae,Ophiuroglypha lymani,Macroalgae,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/977,Stomach content
Bivalves,Ophiuroglypha lymani,BIvalvia,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/978,Stomach content
Bryozoans,Ophiuroglypha lymani,Bryozoa,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/979,Stomach content
Munida gregaria,Otaria byronia,Benthic decapoda,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12379,Stomach content
Oncorhynchus mykiss,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12380,"SIA (skin, muscle)"
Oncorhynchus kisutch,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12381,"SIA (skin, muscle)"
Salmo salar,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12382,"SIA (skin, muscle)"
Eleginops maclovinus,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12383,"SIA (skin, muscle)"
Mustelus mento,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12384,"SIA (skin, muscle)"
Thyrsites atun,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12385,"SIA (skin, muscle)"
Paralabrax humeralis,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12386,"SIA (skin, muscle)"
Odontesthes regia,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12387,"SIA (skin, muscle)"
Sprattus fuegensis,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12388,"SIA (skin, muscle)"
Trachurus murphyi,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12389,"SIA (skin, muscle)"
Merluccius australis,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12390,"SIA (skin, muscle)"
Cilus gilberti,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12391,"SIA (skin, muscle)"
Genypterus spp.,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12392,"SIA (skin, muscle)"
Callorhinchus callorhynchus,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12393,"SIA (skin, muscle)"
Pinguipes chilensis,Otaria byronia,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12394,"SIA (skin, muscle)"
Detritus,Pagurus sp.,Detritus,C. Andrade (pers. comm.),,"SIA (skin, muscle)"
Detritus,Paraeuthria fuscata,Detritus,Andrade C (2009),,In situ observation
Munida gregaria,Patagonotothen cornucola,Benthic decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6022,In situ observation
Unidentified fish,Patagonotothen cornucola,Pisces,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6023,Stomach content
Platynereis australis,Patagonotothen tessellata,Polychaeta,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-8,Stomach content
Gammaridae,Patagonotothen tessellata,Amphipoda,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-9,Stomach content
Ostracods,Patagonotothen tessellata,Ostracoda,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-10,Stomach content
Rhizoclonium sp,Patagonotothen tessellata,Microalgae,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-11,Stomach content
Polysiphonia sp.,Patagonotothen tessellata,Red algae,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-12,Stomach content
Chironomidae,Patagonotothen tessellata,Insecta,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-13,Stomach content
Austroregia sp.,Patagonotothen tessellata,Amphipoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6020,Stomach content
Munida gregaria,Patagonotothen tessellata,Benthic decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6021,Stomach content
Bivalvia larva,Patagonotothen tessellata (larvae),Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Stomach content
Pluteus larva,Patagonotothen tessellata (larvae),Echinodermata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Copepod egg,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Copepod nauplius,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Calanoid copepodite,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Aetideus arcuatus,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Calanoides patagoniensis,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Calanus simillimus,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Paracalanus indicus,Patagonotothen tessellata (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Chitinous remains,Patagonotothen tessellata (larvae),-,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Phytodetritus,Plaxiphora aurata,Phytodetritus,C. Andrade (pers. comm.),,Gut content
Diatoms,Plaxiphora aurata,Benthic diatom,C. Andrade (pers. comm.),,
Squid,Pseudorca crassidens,Cephalopoda,Haro et al. (2015),https://www.scielo.cl/scielo.php?pid=S0718-19572015000100013&script=sci_arttext&tlng=pt,
Martialia hyadesii,Pseudorca crassidens,Cephalopoda,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x,Stomach content
Illex argentinus,Pseudorca crassidens,Cephalopoda,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x,Stomach content
Macruronus magellanicus,Pseudorca crassidens,Pisces,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x,Stomach content
Munida gregaria,Salilota australis,Benthic decapoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Austrolycus depressiceps,Salilota australis,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Patagonotothen cornucola,Salilota australis,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis,Spheniscus magellanicus,Pisces,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,Stomach content
Patagonotothen wiltoni,Spheniscus magellanicus,Pisces,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,Stomach content
Doryteuthis  gahi,Spheniscus magellanicus,Cephalopoda,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,Stomach content
Amphipoda,Sprattus fuegensis,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Hyperiidea,Sprattus fuegensis,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Mysida,Sprattus fuegensis,Mysida,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Calanoida,Sprattus fuegensis,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Harpacticoida,Sprattus fuegensis,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Megacalanus sp.,Sprattus fuegensis,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Copepoda,Sprattus fuegensis,Copepoda,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Isopoda,Sprattus fuegensis,Isopoda,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Pseudonitzschia sp.,Sprattus fuegensis,Plankton diatom,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Rhizosolenia sp.,Sprattus fuegensis,Plankton diatom,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Chaetoceros sp.,Sprattus fuegensis,Plankton diatom,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Centric diatoms,Sprattus fuegensis,Diatoms,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Pennate diatoms,Sprattus fuegensis,Diatoms,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Asterionellopsis sp.,Sprattus fuegensis,Plankton diatom,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Thalassiosira sp.,Sprattus fuegensis,Plankton diatom,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Ramnogaster arcuata,Stercorarius chilensis,Pisces,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936,Stomach content
Sprattus fuegensis,Stercorarius chilensis,Pisces,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936,Regurgited
Macrocystis pyrifera,Tegula atra,Brown algae,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,Regurgited
Mazzaella laminarioides,Tegula atra,Red algae,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,In situ observation under laboratory conditions
Ulva sp.,Tegula atra,Green algae,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,In situ observation under laboratory conditions
Mytilus chilensis,Trophon geversianus,Bivalvia,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/387,In situ observation under laboratory conditions
Aulacomya atra,Trophon geversianus,Bivalvia,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/388,In situ observation
Hiatella arctica,Trophon geversianus,Bivalvia,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/389,In situ observation
Perumytilus purpuratus,Trophon geversianus,Bivalvia,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/390,In situ observation
Mytilus chilensis,Cosmasterias lurida,Bivalvia,Andrade (pers. comm.),,In situ observation
Mytilus chilensis,Anasterias antarctica,Bivalvia,Andrade (pers. comm.),,In situ observation
Austrochlamys natans,Cosmasterias lurida,Bivalvia,Andrade (pers. comm.),,In situ observation
Diatoms,Plaxiphora aurata,Diatoms,Andrade (pers. comm.),,In situ observation
Phytodetritus,Plaxiphora aurata,Phytodetritus,Andrade (pers. comm.),,Observed in stomach content
Macrocystis pyrifera,Arbacia dufresnii,Brown algae,Newcombe et al. (2012),https://www.int-res.com/abstracts/ab/v15/n2/p135-144,
Macrocystis pyrifera,Paralomis granulosa,Brown algae,Andrade (pers. comm.),,In situ observation
Rhodophyta indet,Paralomis granulosa,Red algae,Andrade (pers. comm.),,Stomach content (unpublished data)
Hydrozoans,Paralomis granulosa,Hydrozoa,Andrade (pers. comm.),,Stomach content (unpublished data)
Bryozoans,Paralomis granulosa,Bryozoa,Andrade (pers. comm.),,Stomach content (unpublished data)
Sponges,Paralomis granulosa,Porifera,Andrade (pers. comm.),,Stomach content (unpublished data)
Forams,Paralomis granulosa,Foraminifera,Andrade (pers. comm.),,Stomach content (unpublished data)
Polychaetes,Paralomis granulosa,Polychaeta,Andrade (pers. comm.),,Stomach content (unpublished data)
Pseudechinus magellanicus,Paralomis granulosa,Echinodermata,Andrade (pers. comm.),,Stomach content (unpublished data)
Enteroctopus megalocyathus,Paralomis granulosa,Cephalopoda,Andrade (pers. comm.),,Stomach content (unpublished data)
Mytilus chilensis,Paralomis granulosa,Bivalvia,Andrade (pers. comm.),,Stomach content (unpublished data)
Amphipoda,Paralomis granulosa,Amphipoda,Andrade (pers. comm.),,Stomach content (unpublished data)
Debris allocthonous,Paralomis granulosa,Debris allocthonous,Andrade (pers. comm.),,Stomach content (unpublished data)
