resource,consumer,Prey group,Reference,URL/DOI,Observation
Amphipoda,Genypterus blacodes,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Merluccius sp.,Genypterus blacodes,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Patagonotothen sp.,Genypterus blacodes,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Odontesthes spp.,Genypterus blacodes,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis,Genypterus blacodes,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,Stomach content
Lithodes santolla,Genypterus blacodes,Benthic decapoda,Andrade (pers. comm.),,Stomach content
Detritus,Halicarcinus planatus,Detritus,C. Andrade (pers. comm.),,Observed in stomach content
Exosphaeroma gigas,Labidiaster radiosus,Isopoda,C. Andrade (pers. comm.),,
Enteroctopus megalocyathus,Lagenorhynchus australis,Cephalopoda,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,In situ observation
Macruronus magellanicus,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Genypterus blacodes,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Myxine australis,Lagenorhynchus australis,Myxini,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Salilota australis,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Gaimardia trapesina,Larus dominicanus,Gastropoda,Hockey (1988),https://doi.org/10.1007/BF00379614,Stomach content
Mytilus chilensis,Larus dominicanus,Bivalvia,Andrade (pers. comm.),,In situ observation
Macrocystis pyrifera,Lithodes santolla,Brown algae,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/56,In situ observation
Hydrozoans,Lithodes santolla,Hydrozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57,Stomach content
Bryozoans,Lithodes santolla,Bryozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/58,Stomach content
Sponges,Lithodes santolla,Porifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59,Stomach content
Forams,Lithodes santolla,Foraminifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60,Stomach content
Polychaetes,Lithodes santolla,Polychaeta,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61,Stomach content
Echinoderms,Lithodes santolla,Echinodermata,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62,Stomach content
Crustaceans,Lithodes santolla,Crustacea,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63,Stomach content
Bivalves,Lithodes santolla,Bivalvia,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/64,Stomach content
Gastropods,Lithodes santolla,Gastropoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65,Stomach content
Cephalopods,Lithodes santolla,Cephalopoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/66,Stomach content
Fish,Lithodes santolla,Pisces,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/67,Stomach content
Sediment,Lithodes santolla,Sediment,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68,Stomach content
Detritus,Lithodes santolla,Detritus,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Debris allocthonous,Lithodes santolla,Debris allocthonous,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Amphipoda,Lithodes santolla (juvenile),Amphipoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,Stomach content
Bivalves,Lithodes santolla (juvenile),Bivalvia,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/557,Stomach content
Macrocystis pyrifera,Lithodes santolla (juvenile),Brown algae,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/558,Stomach content
Sediment,Lithodes santolla (juvenile),Sediment,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/559,Stomach content
Hydrozoans,Lithodes santolla (juvenile),Hydrozoa,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/560,Stomach content
Echinoderms,Lithodes santolla (juvenile),Echinodermata,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Sponges,Lithodes santolla (juvenile),Porifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Forams,Lithodes santolla (juvenile),Foraminifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Polychaetes,Lithodes santolla (juvenile),Polychaeta,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Nacella spp.,Lithodes santolla (juvenile),Gatropoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Polyplacophora,Lithodes santolla (juvenile),Polyplacophora,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Ulva sp.,Lithodes santolla (juvenile),Green algae,Pardo et al.(2021),,Stomach content
Lithodes santolla,Lithodes santolla (juvenile),Benthic decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,
Prolatilus jugularis,Lontra felina,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Stomach content
Patagonotothen sp.,Lontra felina,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Cottoperca gobio,Lontra felina,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Harpagifer bispinis,Lontra felina,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Acanthocyclus albatrossis,Lontra felina,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lithodes santolla,Lontra felina,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Munida gregaria,Lontra felina,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Campylonotus vagans,Lontra felina,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Taliepus dentatus,Lontra felina,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Cancer edwardsii,Lontra felina,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Macrocystis pyrifera,Loxechinus albus,Brown algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Feaces
Rhodymenia falklandica,Loxechinus albus,Red algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Lessonia flavicans,Loxechinus albus,Brown algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Sarcopeltis skottsbergii,Loxechinus albus,Red algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Callophyllis variegata,Loxechinus albus,Red algae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Harpagifer bispinis,Loxechinus albus,Pisces,Andrade (pers. comm.),,Stomach content
Sprattus fuegensis,Macruronus magellanicus,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,In situ observation (laboratory)
Macrocystis pyrifera,Margarella violacea,Brown algae,C. Andrade (pers. comm.),,Stomach content
Munida gregaria,Megaptera novaeangliae,Benthic decapoda,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2,In situ observation
Sprattus fuegensis,Megaptera novaeangliae,Pisces,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2,SIA (skin)
Euphausia lucens,Megaptera novaeangliae,Pelagic crustacea,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Euphausia vallentini,Megaptera novaeangliae,Pelagic crustacea,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Themisto gaudichaudii ,Megaptera novaeangliae,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Sprattus fuegensis,Merluccius australis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,SIA (skin)
Ulva sp.,Munida gregaria,Green algae,Andrade (pers. comm.),,Stomach content
Serolis sp.,Munida gregaria,Isopoda,Andrade (pers. comm.),,In situ observation 
Sponges,Munida gregaria,Porifera,Andrade (pers. comm.),,
Phytodetritus,Munida gregaria,Phytodetritus,Andrade (pers. comm.),,
Detritus,Munida gregaria,Detritus,Andrade (pers. comm.),,
Bivalvia,Nacella deaurata,Bivalvia,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,
Forams,Nacella deaurata,Foraminifera,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Elphidium macellum,Nacella deaurata,Foraminifera,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Brown algae,Nacella deaurata,Brown algae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
