resource,consumer
Perumytilus purpuratus,Acanthina monodon
Mytilus chilensis,Acanthina monodon
Phytodetritus,Amphipoda
Phytodetritus,Amphipoda indet
Mytilus chilensis,Anasterias antarctica
Trophon geversianus,Anasterias antarctica
Aulacomya atra,Anasterias antarctica
Harpagifer bispinis,Antholoba achates
Sprattus fuegensis,Aptenoydes patagonicus
Myctophidae,Aptenoydes patagonicus
Doryteuthis gahi,Aptenoydes patagonicus
Patagonotothen tessellata,Aptenoydes patagonicus
Macrocystis pyrifera,Arbacia dufresnii
Ulva sp.,Arbacia dufresnii
Ostracods,Arbacia dufresnii
Forams,Arbacia dufresnii
Ceramium sp.,Arbacia dufresnii
Heterosiphonia sp.,Arbacia dufresnii
Zooplankton,Aulacomya atra
Phytoplankton,Aulacomya atra
Fragilaria sp.,Bathylagichthys parini (larvae)
Bivalvia larva,Bathylagichthys parini (larvae)
Copepod egg,Bathylagichthys parini (larvae)
Copepod nauplius,Bathylagichthys parini (larvae)
Calanoid copepodite,Bathylagichthys parini (larvae)
Ostracods,Bathylagichthys parini (larvae)
Salp,Bathylagichthys parini (larvae)
Appendicularia fecal pellet,Bathylagichthys parini (larvae)
Phytoplankton,Bivalves
Chaetoceros sp.,Bivalvia larva
Diatoms,Bivalvia larva
Exosphaeroma gigas,Bunodactis octoradiata
Phytoplankton,Calanoid copepodite
Darina solenoides,Calidris canutus
Zooplankton,Campylonotus vagans
Patagonotothen spp.,Cephalorhynchus commersonii commersonii
Zoarcids,Cephalorhynchus commersonii commersonii
Eleginops maclovinus,Cephalorhynchus commersonii commersonii
Odontesthes spp.,Cephalorhynchus commersonii commersonii
Sprattus fuegensis,Cephalorhynchus commersonii commersonii
Macruronus magellanicus,Cephalorhynchus commersonii commersonii
Illex argentinus,Cephalorhynchus commersonii commersonii
Doryteuthis gahi,Cephalorhynchus commersonii commersonii
Enteroctopus megalocyathus,Cephalorhynchus commersonii commersonii
Munida gregaria,Cephalorhynchus commersonii commersonii
Halicarcinus planatus,Cephalorhynchus commersonii commersonii
Campylonotus vagans,Cephalorhynchus commersonii commersonii
Patagonotothen tessellata,Champsocephalus esox
Patagonotothen cornucola,Champsocephalus esox
Patagonotothen sima,Champsocephalus esox
Macroalgae,Chloephaga hybrida
Nanoflagellates,Copepod nauplius
Mytilus chilensis,Cosmasterias lurida
Austrochlamys natans,Cosmasterias lurida
Trophon geversianus,Cosmasterias lurida
Aulacomya atra,Cosmasterias lurida
Pseudechinus magellanicus,Cosmasterias lurida
Arbacia dufresnii,Cosmasterias lurida
Loxechinus albus,Cosmasterias lurida
Macrocystis pyrifera,Crepipatella dilatata
Phytoplankton,Darina solenoides
Detritus,Darina solenoides
Gammaridae,Eleginops maclovinus
Tanaidae,Eleginops maclovinus
Ulva sp.,Eleginops maclovinus
Exosphaeroma gigas,Eleginops maclovinus
Acanthocyclus albatrossis ,Eleginops maclovinus
Platynereis australis,Eleginops maclovinus
Halicarcinus planatus,Eleginops maclovinus
Cephalopods,Eleginops maclovinus
Ostracods,Eleginops maclovinus
Amphipoda,Eleginops maclovinus
Enteromorpha sp.,Eleginops maclovinus
Ectocarpus sp.,Eleginops maclovinus
Ulva sp.,Eleginops maclovinus
Rhizoclonium sp.,Eleginops maclovinus
Cladophora sp.,Eleginops maclovinus
Ceramium sp.,Eleginops maclovinus
Oscillatoria sp.,Eleginops maclovinus
Copepods,Eleginops maclovinus
Ostracods,Eleginops maclovinus
Isopoda,Eleginops maclovinus
Decapoda,Eleginops maclovinus
Acari,Eleginops maclovinus
Appendicularians,Eleginops maclovinus
Forams,Eleginops maclovinus
Brachiopods,Eleginops maclovinus
Fishes,Eleginops maclovinus
Sediments,Eleginops maclovinus
Tawera elliptica,Enteroctopus megalocyathus
Peltarion spinulosum,Enteroctopus megalocyathus
Phytoplankton,Euphausia lucens
Phytoplankton,Euphausia vallentini
Centric diatoms,Euphausia vallentini
Forams,Eurypodius latreillei
Halicarcinus planatus,Eurypodius latreillei
Pagurus sp.,Eurypodius latreillei
Isopoda,Eurypodius latreillei
Bryozoans,Eurypodius latreillei
Detritus,Exosphaeroma gigas
Macrocystis pyrifera,Fissurella oriens
Macroalgae,Fissurella oriens
Macrocystis pyrifera,Fissurella radiosa
Macroalgae,Fissurella radiosa
Phytoplankton,Gaimardia trapesina
Munida gregaria,Genypterus blacodes
Amphipoda,Genypterus blacodes
Merluccius sp.,Genypterus blacodes
Patagonotothen sp.,Genypterus blacodes
Odontesthes spp.,Genypterus blacodes
Sprattus fuegensis,Genypterus blacodes
Lithodes santolla,Genypterus blacodes
Detritus,Halicarcinus planatus
Gammaridae,Harpagifer bispinis
Isopoda,Harpagifer bispinis
Tanaidae,Harpagifer bispinis
Polychaetes,Harpagifer bispinis
Exospheroma gigas,Harpagifer bispinis
Exosphaeroma gigas,Labidiaster radiosus
Enteroctopus megalocyathus,Lagenorhynchus australis
Macruronus magellanicus,Lagenorhynchus australis
Genypterus blacodes,Lagenorhynchus australis
Myxine australis,Lagenorhynchus australis
Salilota australis,Lagenorhynchus australis
Salp,Lagenorhynchus australis
