ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
227,Doryteuthis gahi,Cephalopoda,Merluccius sp.,Teleostei,Cubillos et al. (2003),"Cubillos, L. A., Rebolledo, H. P., & Hernández, A. F. (2003). Prey composition and estimation of Q/B for the Chilean hake, Merluccius gayi (Gadiformes, Merluccidae), in the central-south area off Chile (34°-40° S). Archive of Fishery and Marine Research, 50(3), 271-286."
228,Macruronus magellanicus,Teleostei,Merluccius sp.,Teleostei,Cubillos et al. (2003),"Cubillos, L. A., Rebolledo, H. P., & Hernández, A. F. (2003). Prey composition and estimation of Q/B for the Chilean hake, Merluccius gayi (Gadiformes, Merluccidae), in the central-south area off Chile (34°-40° S). Archive of Fishery and Marine Research, 50(3), 271-286."
229,Myctophidae,Teleostei,Merluccius sp.,Teleostei,Cubillos et al. (2003),"Cubillos, L. A., Rebolledo, H. P., & Hernández, A. F. (2003). Prey composition and estimation of Q/B for the Chilean hake, Merluccius gayi (Gadiformes, Merluccidae), in the central-south area off Chile (34°-40° S). Archive of Fishery and Marine Research, 50(3), 271-286."
230,Pseudechinus magellanicus,Echinoidea,Merluccius sp.,Teleostei,Alonso et al. (2019),"Alonso, R. B., Romero, M. A., Ocampo Reinaldo, M., Bustelo, P. E., Medina, A. I., & Gonzalez, R. (2019). The opportunistic sense: The diet of Argentine hake Merluccius hubbsi reflects changes in prey availability. Regional Studies in Marine Science, 27, 100540. https://doi.org/10.1016/j.rsma.2019.100540"
231,Detritus,"Non-living
",Grimothea gregaria,Decapoda,Andrade et al. (2019),"Andrade, C., Gorny, M., Zapata-Hernández, G., Rivera, C., & Harrod, C. (2019). Estimación del nicho isotópico y dieta del langostino de los canales Munida gregaria en el Canal del Castillo, Reserva Nacional Katalalixar, Chile. 284."
232,Green algae,Macroalgae,Grimothea gregaria,Decapoda,Andrade et al. (2019),"Andrade, C., Gorny, M., Zapata-Hernández, G., Rivera, C., & Harrod, C. (2019). Estimación del nicho isotópico y dieta del langostino de los canales Munida gregaria en el Canal del Castillo, Reserva Nacional Katalalixar, Chile. 284."
233,Isopoda,Isopoda,Grimothea gregaria,Decapoda,Andrade et al. (2019),"Andrade, C., Gorny, M., Zapata-Hernández, G., Rivera, C., & Harrod, C. (2019). Estimación del nicho isotópico y dieta del langostino de los canales Munida gregaria en el Canal del Castillo, Reserva Nacional Katalalixar, Chile. 284."
234,Phytodetritus,"Non-living
",Grimothea gregaria,Decapoda,Andrade et al. (2019),"Andrade, C., Gorny, M., Zapata-Hernández, G., Rivera, C., & Harrod, C. (2019). Estimación del nicho isotópico y dieta del langostino de los canales Munida gregaria en el Canal del Castillo, Reserva Nacional Katalalixar, Chile. 284."
235,Porifera,Porifera,Grimothea gregaria,Decapoda,Andrade et al. (2019),"Andrade, C., Gorny, M., Zapata-Hernández, G., Rivera, C., & Harrod, C. (2019). Estimación del nicho isotópico y dieta del langostino de los canales Munida gregaria en el Canal del Castillo, Reserva Nacional Katalalixar, Chile. 284."
236,Odontesthes sp.,Teleostei ,Mustelus mento,Chondrostei,Vargas et al. (1999),"Vargas, M., Cifuentes, S., & Emparanza, E. (1999). Espectro trófico de peces concurrentes al área de crianza Playa Chipana (21° 19’S-70° 04’W) del norte de Chile. Revista de Biología Tropical, 47(3), 597-600."
