resource,consumer,Prey group,Reference,URL/DOI,Observation
Eleginops maclovinus,Tanaidae,Malacostraca,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Eleginops maclovinus,Chlorophyta,Green algae,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Eleginops maclovinus,Exosphaeroma gigas,Isopoda,Andrade (pers. comm.),,Stomach content
Genypterus blacodes,Munida gregaria,Benthic decapoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Observation in stomach content
Genypterus blacodes,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Merluccius sp.,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Patagonotothen sp.,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Odontesthes spp.,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,Stomach content
Genypterus blacodes,Lithodes santolla,Benthic decapoda,Andrade (pers. comm.),,Stomach content
Halicarcinus planatus,Detritus,Detritus,C. Andrade (pers. comm.),,Observed in stomach content
Labidiaster radiosus,Exosphaeroma gigas,Isopoda,C. Andrade (pers. comm.),,
Lagenorhynchus australis,Enteroctopus megalocyathus,Cephalopoda,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,In situ observation
Lagenorhynchus australis,Macruronus magellanicus,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Genypterus blacodes,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Myxine australis,Myxini,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Salilota australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Larus dominicanus,Gaimardia trapesina,Gastropoda,Hockey (1988),https://doi.org/10.1007/BF00379614,Stomach content
Larus dominicanus,Mytilus chilensis,Bivalvia,Andrade (pers. comm.),,In situ observation
Lithodes santolla,Macrocystis pyrifera,Brown algae,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/56,In situ observation
Lithodes santolla,Hydrozoans,Hydrozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57,Stomach content
Lithodes santolla,Bryozoans,Bryozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/58,Stomach content
Lithodes santolla,Sponges,Porifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59,Stomach content
Lithodes santolla,Foraminifera,Foraminifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60,Stomach content
Lithodes santolla,Polychaetes,Polychaeta,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61,Stomach content
Lithodes santolla,Echinoderms,Echinodermata,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62,Stomach content
Lithodes santolla,Crustaceans,Crustacea,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63,Stomach content
Lithodes santolla,Bivalves,Bivalvia,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/64,Stomach content
Lithodes santolla,Gastropods,Gastropoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65,Stomach content
Lithodes santolla,Cephalopods,Cephalopoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/66,Stomach content
Lithodes santolla,Fish,Pisces,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/67,Stomach content
Lithodes santolla,Sediment,Sediment,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68,Stomach content
Lithodes santolla,Detritus,Detritus,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Lithodes santolla,Debris allocthonus,Debris allocthonus,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Lithodes santolla (juvenile),Amphipoda,Amphipoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,Stomach content
Lithodes santolla (juvenile),Bivalves,Bivalvia,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/557,Stomach content
