"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"1",1,"Mytilus sp.",12,2,10,25.695670995671,0.0029585798816568,2.5,0.25,12,16,16,14.6666666666667,13
"2",2,"Perumytilus purpuratus",4,2,2,1.83333333333333,0.00236406619385343,2.5,0.25,20,58,65,47.6666666666667,63
"3",3,"Phytodetritus",9,0,9,0,0.00263852242744063,1,0,15,72,35,40.6666666666667,51
"4",4,"Bivalvia",15,1,14,10.7054112554113,0.00294985250737463,2,0,9,27,17,17.6666666666667,17
"5",5,"Gastropoda",8,1,7,1.85497835497835,0.00265957446808511,2,0,16,57,34,35.6666666666667,41
"6",6,"Harpagifer bispinis",8,5,3,40.4611111111111,0.00263157894736842,3.158,0.039,16,8,36,20,19
"7",7,"Zooplankton",17,1,16,5.28354978354978,0.003125,2,0,7,41,7,18.3333333333333,18
"8",8,"Doryteuthis gahi",11,2,9,20.0833333333333,0.00257731958762887,4.167,0.111,13,19,40,24,22
"9",9,"Myctophidae",5,1,4,8.58333333333333,0.00246913580246914,3.333,0,19,30,54,34.3333333333333,39
"10",10,"Patagonotothen tessellata",12,8,4,38.6214285714286,0.00292397660818713,3.191,0.727,12,9,19,13.3333333333333,11
"11",11,"Sprattus fuegensis",17,4,13,98.1393217893218,0.00297619047619048,2.833,0.25,7,2,15,8,6
"12",12,"Brown algae",22,0,22,0,0.00302114803625378,1,0,4,72,13,29.6666666666667,30
"13",13,"Foraminifera",13,3,10,23.5159090909091,0.00305810397553517,2.444,0.395,11,17,10,12.6666666666667,10
"14",14,"Green algae",10,0,10,0,0.0028169014084507,1,0,14,72,22,36,42
"15",15,"Ostracoda",13,3,10,20.4004329004329,0.003125,2.333,0.222,11,18,7,12,9
"16",16,"Red algae",10,0,10,0,0.00282485875706215,1,0,14,72,21,35.6666666666667,41
"17",17,"Merluccius australis",3,1,2,6,0.0023094688221709,3.833,0,21,34,71,42,52
"18",18,"Phytoplankton",28,0,28,0,0.0032051282051282,1,0,1,72,4,25.6666666666667,24
"19",19,"Isopoda",9,3,6,30.0777777777778,0.00292397660818713,2,0,15,13,19,15.6666666666667,14
"20",20,"Patagonotothen cornucola",6,2,4,5.86666666666667,0.00253164556962025,3.75,0.562,18,36,46,33.3333333333333,36
"21",21,"Polychaeta",21,8,13,120.845238095238,0.0033112582781457,2.458,0.359,5,1,2,2.66666666666667,2
"22",22,"Bivalvia (larvae)",5,2,3,4.5,0.00225225225225225,2,0,19,42,73,44.6666666666667,57
"23",23,"Calanoid (copepodite)",4,1,3,1.83333333333333,0.00235849056603774,2,0,20,58,66,48,64
"24",24,"Copepoda (egg)",3,0,3,0,0.001953125,1,0,21,72,92,61.6666666666667,95
"25",25,"Copepoda (nauplius)",4,1,3,2.5,0.00196078431372549,2,0,20,52,91,54.3333333333333,79
"26",26,"Detritus",24,0,24,0,0.00321543408360129,1,0,2,72,3,25.6666666666667,24
"27",27,"Plankton diatom",8,0,8,0,0.002710027100271,1,0,16,72,30,39.3333333333333,47
"28",28,"Salp",5,3,2,4.16666666666667,0.00261780104712042,2.444,0.395,19,45,37,33.6666666666667,37
"29",29,"Benthic diatom",5,0,5,0,0.00258397932816537,1,0,19,72,39,43.3333333333333,55
"30",30,"Exosphaeroma gigas",7,1,6,5.53888888888889,0.00266666666666667,2,0,17,37,33,29,28
"31",31,"Benthic decapoda",22,1,21,46.2194805194805,0.00316455696202532,3.5,0,4,4,5,4.33333333333333,3
"32",32,"Eleginops maclovinus",23,20,3,60.827886002886,0.00334448160535117,3.17,0.789,3,3,1,2.33333333333333,1
"33",33,"Enteroctopus megalocyathus",5,2,3,3.89285714285714,0.00265957446808511,3.75,0.562,19,46,34,33,35
"34",34,"Halicarcinus planatus",4,1,3,0.833333333333333,0.0025706940874036,2,0,20,66,41,42.3333333333333,53
"35",35,"Illex argentinus",7,4,3,11.1678571428571,0.00263852242744063,3.625,0.811,17,25,35,25.6666666666667,24
"36",36,"Macruronus magellanicus",8,2,6,9.55952380952381,0.00252525252525253,4.167,0.111,16,28,47,30.3333333333333,31
"37",37,"Odontesthes sp.",9,2,7,13.3672799422799,0.00261780104712042,3,0,15,24,37,25.3333333333333,23
"38",38,"Patagonotothen sp.",10,4,6,37.734126984127,0.0028735632183908,3.24,0.808,14,10,20,14.6666666666667,13
"39",39,"Zoarcidae",4,2,2,2.14404761904762,0.00252525252525253,3.229,0.053,20,55,47,40.6666666666667,51
"40",40,"Patagonotothen sima",5,4,1,5.33333333333333,0.00275482093663912,3.573,0.315,19,39,27,28.3333333333333,27
"41",41,"Amphipoda",18,1,17,26.3488095238095,0.00306748466257669,2,0,6,15,9,10,7
"42",42,"Nanoflagellates",2,0,2,0,0.00194931773879142,1,0,22,72,93,62.3333333333333,96
"43",43,"Arbacia dufresnii",6,5,1,4.33333333333333,0.00255754475703325,2.556,0.464,18,44,43,35,40
"44",44,"Loxechinus albus",4,3,1,7.83333333333333,0.00233644859813084,2.719,1.035,20,31,69,40,49
"45",45,"Pseudechinus magellanicus",8,3,5,17,0.00275482093663912,2.926,0.431,16,22,27,21.6666666666667,20
"46",46,"Munida gregaria",6,5,1,6.09444444444444,0.00261780104712042,2.4,0.24,18,33,37,29.3333333333333,29
"47",47,"Peltarion spinulosum",2,1,1,14.95,0.00233100233100233,3.642,0,22,23,70,38.3333333333333,45
"48",48,"Genypterus blacodes",10,6,4,32.3198412698413,0.00278551532033426,4.168,0.536,14,12,23,16.3333333333333,15
"49",49,"Lithodes santolla",17,15,2,29.534632034632,0.00303030303030303,2.827,0.727,7,14,12,11,8
"50",50,"Salilota australis",7,5,2,11.0357142857143,0.00251256281407035,4.732,0.157,17,26,49,30.6666666666667,32
"51",51,"Acanthocyclus albatrossis",2,1,1,0.642857142857143,0.00246305418719212,3.5,0,22,68,55,48.3333333333333,65
"52",52,"Brachiopoda",2,1,1,0.366883116883117,0.00256410256410256,2,0,22,70,42,44.6666666666667,57
"53",53,"Cephalopoda",5,2,3,4.33333333333333,0.00277008310249307,3.75,0.562,19,43,25,29,28
"54",54,"Copepoda",14,3,11,45.3722943722944,0.00334448160535117,2.333,0.222,10,6,1,5.66666666666667,4
"55",55,"Cyanobacteria",3,0,3,0,0.00256410256410256,1,0,21,72,42,45,58
"56",56,"Sediment",4,0,4,0,0.0025062656641604,1,0,20,72,50,47.3333333333333,62
"57",57,"Tanaidae",5,3,2,6.42799422799423,0.00277008310249307,2.333,0.222,19,32,25,25.3333333333333,23
"58",58,"Bryozoa",8,2,6,9.10497835497836,0.00276243093922652,2.5,0.25,16,29,26,23.6666666666667,21
"59",59,"Pagurus sp.",5,1,4,2.44444444444444,0.00240384615384615,2,0,19,53,62,44.6666666666667,57
"60",60,"Merluccius sp.",9,6,3,45.4166666666667,0.00269541778975741,4.432,0.37,15,5,31,17,16
"61",61,"Euphausia lucens",3,1,2,1.41666666666667,0.00244498777506112,2,0,21,62,57,46.6666666666667,60
"62",62,"Myxine australis",2,1,1,0.5,0.00234192037470726,2,0,22,69,68,53,76
"63",63,"Bassanago sp.",1,0,1,0,0.00213675213675214,1,0,23,72,82,59,90
"64",64,"Hydrozoa",6,3,3,2.08831168831169,0.00274725274725275,2.333,0.222,18,56,28,34,38
"65",65,"Porifera",6,2,4,2.25497835497836,0.00275482093663912,2,0,18,54,27,33,35
"66",66,"Nacella deaurata",18,16,2,40.9833333333333,0.00314465408805031,2.642,0.345,6,7,6,6.33333333333333,5
"67",67,"Polyplacophora",5,4,1,1.73333333333333,0.002710027100271,2.625,0.422,19,59,30,36,42
"68",68,"Cottoperca gobio",7,6,1,17.5111111111111,0.0025,4.4,0.433,17,21,51,29.6666666666667,30
"69",69,"Prolatilus jugularis",4,3,1,3.78888888888889,0.00249376558603491,3.153,0.047,20,47,52,39.6666666666667,48
"70",70,"Euphausia vallentini",4,2,2,3.66666666666667,0.00248756218905473,2,0,20,48,53,40.3333333333333,50
"71",71,"Chironomidae",5,2,3,3,0.00269541778975741,2,0,19,49,31,33,35
"72",72,"Cirripedia",3,1,2,0.333333333333333,0.00246305418719212,2,0,21,71,55,49,67
"73",73,"Margarella violacea",3,1,2,0,0.0024390243902439,2,0,21,72,58,50.3333333333333,70
"74",74,"Notochthamalus scabrosus",2,1,1,0,0.00238663484486874,2,0,22,72,64,52.6666666666667,75
"75",75,"Dissostichus eleginoides",7,6,1,19.9094516594517,0.0025706940874036,4.816,0.525,17,20,41,26,25
