"","TrophicSpecies","Group","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank","TopRole","within_module_degree","among_module_conn"
"39","Zoarcidae","Teleostei",4,2,2,2.14404761904762,0.00254452926208651,3.229,0.053,20,55,46,40.3333333333333,48,"modspe",-0.631257763075405,0.375
"40","Patagonotothen sima","Teleostei",5,4,1,5.33333333333333,0.00277777777777778,3.573,0.315,19,39,26,28,25,"modcon",-0.616420575629213,0.64
"41","Amphipoda","Amphipoda",18,1,17,26.3488095238095,0.00309597523219814,2,0,6,15,9,10,7,"modspe",1.23445962556968,0.611111111111111
"42","Nanoflagellates","Nanoflagellates",2,0,2,0,0.00196463654223969,1,0,22,72,90,61.3333333333333,88,"modspe",-0.669412833969198,0
"43","Arbacia dufresnii","Echinoidea",6,5,1,4.33333333333333,0.0025706940874036,2.556,0.464,18,44,43,35,38,"modspe",0.0618318848118029,0.277777777777778
"44","Loxechinus albus","Echinoidea",4,3,1,7.83333333333333,0.00234741784037559,2.719,1.035,20,31,69,40,47,"modspe",-0.460304031376756,0.375
"45","Pseudechinus magellanicus","Echinoidea",8,3,5,17,0.00277008310249307,2.926,0.431,16,22,27,21.6666666666667,19,"modspe",0.322899842906082,0.40625
"46","Grimothea gregaria","Decapoda",6,5,1,6.09444444444444,0.00263852242744063,2.4,0.24,18,33,37,29.3333333333333,28,"modcon",-0.52373641772876,0.722222222222222
"47","Peltarion spinulosum","Decapoda",2,1,1,14.95,0.00234741784037559,3.642,0,22,23,69,38,43,"modspe",-0.982439947565315,0.5
"48","Genypterus blacodes","Teleostei",10,6,4,32.3198412698413,0.00280898876404494,4.168,0.536,14,12,22,16,14,"modspe",1.23445962556968,0
"49","Lithodes santolla","Decapoda",17,15,2,29.534632034632,0.00304878048780488,2.827,0.727,7,14,12,11,8,"modspe",2.15037554956604,0.394463667820069
"50","Salilota australis","Teleostei",7,5,2,11.0357142857143,0.00253164556962025,4.732,0.157,17,26,48,30.3333333333333,31,"modspe",-0.0981956520339519,0.408163265306122
"51","Acanthocyclus albatrossis","Decapoda",2,1,1,0.642857142857143,0.00248138957816377,3.5,0,22,68,54,48,63,"modspe",-1.03470596623475,0.5
"52","Brachiopoda","Brachiopoda",2,1,1,0.366883116883117,0.00258397932816537,2,0,22,70,42,44.6666666666667,56,"modspe",-0.784418608415003,0.5
"53","Cephalopoda","Cephalopoda",5,2,3,4.33333333333333,0.00279329608938547,3.75,0.563,19,43,24,28.6666666666667,26,"modcon",-0.721371989471035,0.64
"54","Copepoda","Copepoda",14,3,11,45.3722943722944,0.00336700336700337,2.333,0.222,10,6,1,5.66666666666667,4,"modcon",0.519952398428967,0.744897959183674
"55","Cyanobacteria","Cyanophyceae",3,0,3,0,0.00258397932816537,1,0,21,72,42,45,57,"modspe",-0.721371989471035,0.444444444444444
"56","Sediment","Non-living",4,0,4,0,0.00252525252525253,1,0,20,72,49,47,60,"modspe",-0.460304031376756,0.375
"57","Tanaidae","Tanaidacea",5,3,2,6.42799422799423,0.00279329608938547,2.333,0.222,19,32,24,25,21,"modspe",-0.174578805909587,0.48
"58","Bryozoa","Bryozoa",8,2,6,9.10497835497836,0.00278551532033426,2.5,0.25,16,29,25,23.3333333333333,20,"modcon",-0.0807081735369127,0.6875
