"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"66",66,"Nacella deaurata",18,16,2,40.9833333333333,0.00316455696202532,2.642,0.345,6,7,6,6.33333333333333,5
"67",67,"Polyplacophora",5,4,1,1.73333333333333,0.00273224043715847,2.625,0.422,19,59,29,35.6666666666667,40
"68",68,"Cottoperca gobio",7,6,1,17.5111111111111,0.00251889168765743,4.4,0.433,17,21,50,29.3333333333333,28
"69",69,"Prolatilus jugularis",4,3,1,3.78888888888889,0.00251256281407035,3.153,0.047,20,47,51,39.3333333333333,46
"70",70,"Euphausia vallentini",4,2,2,3.66666666666667,0.0025062656641604,2,0,20,48,52,40,47
"71",71,"Chironomidae",5,2,3,3,0.00271739130434783,2,0,19,49,30,32.6666666666667,34
"72",72,"Cirripedia",3,1,2,0.333333333333333,0.00248138957816377,2,0,21,71,54,48.6666666666667,64
"73",73,"Margarella violacea",3,1,2,0,0.00245098039215686,2,0,21,72,57,50,67
"74",74,"Notochthamalus scabrosus",2,1,1,0,0.00240384615384615,2,0,22,72,63,52.3333333333333,70
"75",75,"Dissostichus eleginoides",7,6,1,19.9094516594517,0.00259067357512953,4.816,0.525,17,19,41,25.6666666666667,23
"76",76,"Otaria byronia",16,15,1,37.0450937950938,0.00280898876404494,4.408,0.69,8,11,22,13.6666666666667,11
"77",77,"Tachyeres pteneres",2,1,1,1.04545454545455,0.00223713646532438,4.5,0,22,63,75,53.3333333333333,72
"78",78,"Callorhinchus callorynchus",2,1,1,0.95021645021645,0.0023696682464455,3,0,22,65,66,51,69
"79",79,"Cilus gilberti",4,3,1,2.75873015873016,0.0025974025974026,2.819,0.371,20,50,40,36.6666666666667,42
"80",80,"Mustelus mento",3,2,1,1,0.00226757369614512,3.5,0.25,21,64,72,52.3333333333333,70
"81",81,"Oncorhynchus sp.",2,1,1,0,0.00233100233100233,4.5,0,22,72,70,54.6666666666667,75
"82",82,"Paralabrax humeralis",1,0,1,0,0.00202839756592292,1,0,23,72,88,61,87
"83",83,"Pinguipes chilensis",7,6,1,5.37561327561328,0.00274725274725275,3.688,0.553,17,38,28,27.6666666666667,24
"84",84,"Salmo salar",4,3,1,2.67539682539683,0.00242718446601942,4.144,0.996,20,51,60,43.6666666666667,54
"85",85,"Thyrsites atun",4,3,1,0.5,0.00238095238095238,4.333,0.352,20,69,64,51,69
"86",86,"Trachurus murphyi",5,4,1,5.93398268398268,0.00255754475703325,3.625,0.172,19,35,44,32.6666666666667,34
"87",87,"Paracalanus indicus",2,1,1,0.5,0.0020703933747412,2,0,22,69,87,59.3333333333333,85
"88",88,"Pluteus (larva)",2,1,1,0.5,0.00226757369614512,3,0,22,69,72,54.3333333333333,74
"89",89,"Aulacomya atra",3,2,1,1.61688311688312,0.00248756218905473,2.5,0.25,21,61,53,45,57
"90",90,"Martialia hyadesii",2,1,1,1.66666666666667,0.00195694716242661,3,0,22,60,91,57.6666666666667,81
"91",91,"Austrolycus depressiceps",4,3,1,5.31666666666667,0.00247524752475248,3.736,0.549,20,40,55,38.3333333333333,44
"92",92,"Ramnogaster arcuata",2,0,2,0,0.00190839694656489,1,0,22,72,95,63,92
"93",93,"Crustacea",3,2,1,0.783549783549784,0.0024390243902439,2.5,0.25,21,67,59,49,65
"94",94,"Acanthina monodon",2,2,0,0,0.00212765957446809,3.5,0,22,72,84,59.3333333333333,85
"95",95,"Anasterias antarctica",3,3,0,0,0.00224719101123596,3.167,0.056,21,72,73,55.3333333333333,76
"96",96,"Antholoba achates",1,1,0,0,0.00194552529182879,4.158,0,23,72,92,62.3333333333333,91
"97",97,"Appendicularians",1,1,0,0,0.0021978021978022,3,0,23,72,78,57.6666666666667,81
"98",98,"Aptenodytes patagonicus",4,4,0,0,0.00235294117647059,4.381,0.239,20,72,68,53.3333333333333,72
"99",99,"Arctocephalus australis",2,2,0,0,0.00194174757281553,4.583,0.062,22,72,93,62.3333333333333,91
"100",100,"Austrochlamys natans",1,1,0,0,0.00223713646532438,2,0,23,72,75,56.6666666666667,79
"101",101,"Bathylagichthys parini (larvae)",8,8,0,0,0.00258397932816537,2.722,0.336,16,72,42,43.3333333333333,53
"102",102,"Bunodactis octoradiata",1,1,0,0,0.00196463654223969,3,0,23,72,90,61.6666666666667,89
"103",103,"Calidris canutus",1,1,0,0,0.00211416490486258,3,0,23,72,85,60,86
"104",104,"Campylonotus vagans",1,1,0,0,0.0021978021978022,3,0,23,72,78,57.6666666666667,81
"105",105,"Cephalorhynchus commersonii commersonii",11,11,0,0,0.00280112044817927,4.335,0.351,13,72,23,36,41
"106",106,"Champsocephalus esox",3,3,0,0,0.00220264317180617,4.505,0.054,21,72,77,56.6666666666667,79
"107",107,"Chloephaga hybrida",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84
"108",108,"Cosmasterias lurida",6,6,0,0,0.00244498777506112,3.45,0.12,18,72,58,49.3333333333333,66
"109",109,"Crepipatella dilatata",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84
"110",110,"Darina solenoides",1,1,0,0,0.00223713646532438,2,0,23,72,75,56.6666666666667,79
"111",111,"Eurypodius latreillei",5,5,0,0,0.00247524752475248,3.189,0.054,19,72,55,48.6666666666667,64
"112",112,"Fissurella oriens",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84
