"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"49",49,"Lithodes santolla",17,15,2,29.534632034632,0.00303030303030303,2.699,0.706,7,14,12,11,8
"50",50,"Salilota australis",7,5,2,11.0357142857143,0.00251256281407035,4.667,0.084,17,26,51,31.3333333333333,31
"51",51,"Acanthocyclus albatrossis",2,1,1,0.642857142857143,0.00246305418719212,3.5,0,22,67,57,48.6666666666667,60
"52",52,"Brachiopoda",2,1,1,0.366883116883117,0.00255754475703325,2,0,22,69,45,45.3333333333333,53
"53",53,"Cephalopoda",5,2,3,4.33333333333333,0.00277008310249307,3.75,0.562,19,43,25,29,26
"54",54,"Copepoda",14,3,11,46.3722943722944,0.00333333333333333,2.333,0.222,10,4,1,5,4
"55",55,"Cyanobacteria",3,0,3,0,0.00256410256410256,1,0,21,71,44,45.3333333333333,53
"56",56,"Sediment",4,0,4,0,0.0025062656641604,1,0,20,71,52,47.6666666666667,57
"57",57,"Tanaidae",5,3,2,6.42799422799423,0.00277008310249307,2.333,0.222,19,32,25,25.3333333333333,22
"58",58,"Bryozoa",8,2,6,9.10497835497836,0.00276243093922652,2.5,0.25,16,29,26,23.6666666666667,19
"59",59,"Pagurus sp.",5,1,4,2.44444444444444,0.00240384615384615,2,0,19,52,64,45,52
"60",60,"Merluccius sp.",9,6,3,39.0833333333333,0.00260416666666667,4.111,1.21,15,8,39,20.6666666666667,18
"61",61,"Euphausia lucens",3,1,2,1.41666666666667,0.0024390243902439,2,0,21,61,59,47,55
"62",62,"Myxine australis",2,1,1,0.5,0.00234192037470726,2,0,22,68,70,53.3333333333333,68
"63",63,"Bassanago sp.",1,0,1,0,0.00213675213675214,1,0,23,71,82,58.6666666666667,80
"64",64,"Hydrozoa",6,3,3,2.08831168831169,0.00274725274725275,2.333,0.222,18,55,28,33.6666666666667,34
"65",65,"Porifera",6,2,4,2.25497835497836,0.00275482093663912,2,0,18,53,27,32.6666666666667,33
"66",66,"Nacella deaurata",18,16,2,41.15,0.00314465408805031,2.642,0.345,6,6,6,6,5
"67",67,"Polyplacophora",5,4,1,1.73333333333333,0.002710027100271,2.625,0.422,19,58,30,35.6666666666667,38
"68",68,"Cottoperca gobio",7,6,1,17.5111111111111,0.0025,4.4,0.433,17,20,53,30,29
"69",69,"Prolatilus jugularis",4,3,1,3.78888888888889,0.00249376558603491,3.153,0.047,20,46,54,40,43
"70",70,"Euphausia vallentini",4,2,2,3.66666666666667,0.00248138957816377,2,0,20,47,55,40.6666666666667,45
"71",71,"Chironomidae",5,2,3,3,0.00269541778975741,2,0,19,48,31,32.6666666666667,33
"72",72,"Cirripedia",3,1,2,0.333333333333333,0.00246305418719212,2,0,21,70,57,49.3333333333333,61
"73",73,"Margarella violacea",3,1,2,0,0.00242718446601942,2,0,21,71,61,51,65
"74",74,"Notochthamalus scabrosus",2,1,1,0,0.00238095238095238,2,0,22,71,66,53,67
"75",75,"Dissostichus eleginoides",7,6,1,19.9094516594517,0.0025706940874036,4.775,0.544,17,19,43,26.3333333333333,23
"76",76,"Otaria flavescens",16,15,1,37.0450937950938,0.00278551532033426,4.397,0.675,8,11,23,14,10
"77",77,"Tachyeres pteneres",2,1,1,1.04545454545455,0.00221729490022173,4.5,0,22,62,77,53.6666666666667,69
"78",78,"Callorhinchus callorynchus",2,1,1,0.95021645021645,0.00234741784037559,3,0,22,64,69,51.6666666666667,66
"79",79,"Cilus gilberti",4,3,1,2.75873015873016,0.00257731958762887,2.819,0.371,20,49,42,37,40
